OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
cores,spread,1939403,9618233,89920278,1995
threads,master,1874072,9617949,89907732,2000
threads,close,1937626,9618201,86677493,1995
threads,spread,1935076,9618147,86066531,1995
x,x,123335518,614401226,5427246632,120000
sockets,master,1943934,9617949,89918619,1996
sockets,close,1937158,9618015,89430152,1995
sockets,spread,1938402,9618143,89482863,1995
cores,master,1935230,9617952,89406146,2002
cores,close,1941538,9618105,89919708,1995
cores,spread,1935521,9618233,89826944,1995
threads,master,1879649,9617949,89904887,2000
threads,close,1941434,9618204,86465837,1995
threads,spread,1939715,9618156,86373613,1995
x,x,123324655,614401226,5427262270,120000
sockets,master,1941682,9617952,89618870,1996
sockets,close,1935434,9618015,89880492,1995
sockets,spread,1944133,9618143,89486125,1995
cores,master,1930010,9617949,89698745,2001
cores,close,1937904,9618105,89920154,1995
cores,spread,1939981,9618233,89920112,1995
threads,master,1877053,9617949,89919792,1999
threads,close,1938393,9618201,86752401,1995
threads,spread,1942318,9618147,86210583,1995
x,x,123319091,614401226,5427238732,120000
sockets,master,1937383,9617949,89826088,1999
sockets,close,1939814,9618015,89573593,1995
sockets,spread,1935489,9618143,89704956,1995
cores,master,1928885,9617949,89920029,1996
cores,close,1945168,9618105,89846810,1995
cores,spread,1931713,9618251,87936859,2002
threads,master,1877576,9617949,89906341,2000
threads,close,1940695,9618201,87473239,1995
threads,spread,1937689,9618144,86673223,1995
x,x,123334704,614401226,5427239329,120000
sockets,master,1931766,9617949,89919145,1995
sockets,close,1938199,9618015,89474707,1995
sockets,spread,1939029,9618143,89684191,1995
cores,master,1919603,9617949,89891327,2000
cores,close,1940191,9618105,89919866,1995
cores,spread,1937791,9618233,89919948,1995
threads,master,1869780,9617949,89920753,1999
threads,close,1937524,9618204,87109711,1995
threads,spread,1938105,9618141,86557408,1995
x,x,123340041,614401226,5427262106,120000
sockets,master,1940081,9617949,89917763,2009
sockets,close,1939638,9618015,89772692,1995
sockets,spread,1939626,9618143,89568076,1995
cores,master,1933409,9617949,89921625,2009
cores,close,1941213,9618105,89920098,1995
cores,spread,1933941,9618233,89899757,1995
threads,master,1880609,9617949,89923723,1999
threads,close,1937249,9618201,86736227,1995
threads,spread,1941534,9618141,86563910,1995
