OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
sockets,close,156663307,18695216971,33043936,113486,98390,115749,4922,1313
sockets,spread,159667472,19192951533,32859368,98137,91264,213386,3182,1265
cores,master,2599565763,19080492026,32793874,159832,159652,152880,0,48
cores,close,143693594,17972256908,32226869,103623,83623,137880,15183,2397
cores,spread,138331851,17680507368,31988689,86462,68181,195959,16400,2912
threads,master,4405295058,16422060835,32975267,165963,165230,194774,618,89
threads,close,72014522,5303703173,37441085,112109,91782,44727,4681,1698
threads,spread,106719456,9835513935,27367763,75352,66041,320242,11299,2179
x,x,452861960,1505516512,33111512,158742,155099,331497,0,0
sockets,master,145931302,11994886174,35026354,126648,108822,296967,126,179
sockets,close,164236108,17790694651,33643821,100699,88087,134014,4566,991
sockets,spread,164991077,18114232923,34319928,99034,86529,103054,3423,996
cores,master,2548852111,19064571583,32324088,161423,158734,152471,97,42
cores,close,139196601,18430864959,33944326,94276,71493,152511,16305,2827
cores,spread,140702729,18349993876,33879915,86702,67749,136432,16701,2597
threads,master,4456999353,16793663072,32682247,172980,168561,198845,326,45
threads,close,96165489,8414012314,28611769,83540,76866,72019,10191,1914
threads,spread,198622508,16413630962,31727413,121449,101750,223016,14578,1778
x,x,456730215,1496901544,32436877,156952,151573,393639,7,0
sockets,master,238657386,19270473119,33527922,143504,145314,303792,176,281
sockets,close,161411216,18320610139,31110410,94608,91223,114433,3811,1435
sockets,spread,154148391,18297077193,30156545,88447,86306,198602,4922,1353
cores,master,2622569694,19301420058,33064634,159688,153795,152481,10,84
cores,close,141237987,18536136603,33947742,90787,69125,134353,16072,2302
cores,spread,139599968,17710785240,33220475,90793,73305,116009,13952,2551
threads,master,4465816561,16803599377,32653367,173353,171069,200513,13,51
threads,close,71702114,5514919141,33178616,99791,95455,358889,6179,606
threads,spread,66740278,6034304768,38136646,74664,56862,102266,13306,3325
x,x,454844561,1498662063,33173468,188213,183792,340717,371,0
sockets,master,250919674,19532109516,33973319,145919,140784,266186,108,188
sockets,close,160911799,18621931712,31798155,95130,84691,156612,3629,1339
sockets,spread,151709531,18522087455,31206590,97976,87592,146116,3487,1280
cores,master,2541409488,18960601006,33285696,158713,154020,159802,331,54
cores,close,140842381,18520011885,33520066,91772,70646,143357,15094,2626
cores,spread,140488186,17788059960,32522138,95561,73445,128239,15325,2163
threads,master,4455502377,16846889776,32754868,170101,169755,199735,100,93
threads,close,85938571,8514408807,41571055,84224,49045,112693,16918,4217
threads,spread,65819014,5826906438,41613293,76130,51071,105030,14042,3927
x,x,457092669,1498087706,32792089,160500,154561,369928,401,0
sockets,master,244403990,19547836207,34110825,150444,142054,296048,166,201
sockets,close,154934100,18635799822,33507343,106839,95983,114815,4340,1261
sockets,spread,149240242,19200905448,32499931,97879,89979,114712,3375,1276
cores,master,2243144288,16351852287,33013391,141859,138484,164164,297,59
cores,close,136752590,18663073994,33695327,92768,67901,135762,16819,3129
cores,spread,138160867,18528209553,31884304,96554,75958,138349,16346,2473
threads,master,4384181170,16263985378,33002920,169887,166393,205141,298,76
threads,close,71614239,6699581406,32216607,104274,87132,206510,7622,1294
threads,spread,75902468,6047461767,44619948,99387,68251,50958,8546,2825
x,x,464670047,1536543193,33651713,159973,157837,277223,3,0
sockets,master,234994819,18284509419,33495696,154594,147318,256094,117,93
sockets,close,157946459,18876905905,34764022,106798,97486,119655,4762,1415
sockets,spread,167396619,18791970354,33219567,93706,87724,148865,4387,1373
cores,master,2478940677,18376141804,32817698,153473,151131,161707,102,45
cores,close,140264477,18324576479,33695388,93800,70684,137916,15335,2418
cores,spread,140220871,17924544594,32577586,86999,74173,151745,14690,2668
threads,master,4469555415,16759317245,32544034,166770,165129,209698,0,34
threads,close,67086886,5571872276,43432566,97732,63338,60706,10337,3241
threads,spread,66057715,5524865428,46435056,95843,51599,52551,12373,3873
x,x,460300450,1470136383,32590786,158539,155060,357936,408,0
