OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,close,608137015,97887667856,3384554,14726,3442,755,7871,10171
cores,spread,623398649,98546687914,3444178,16470,3058,766,10980,11189
threads,master,24422693522,93037509162,2989265,11068,7323,2262,484,353
threads,close,80574609,5852688444,3637791,15772,2061,834,8603,5823
threads,spread,42400912,3248042422,1285912,9838,2145,1677,7217,4767
x,x,188816290,547484877,2444107,4930,1582,76,0,0
sockets,master,643603552,55528088146,3265237,6387,3468,1459,17,835
sockets,close,644656441,99878842890,3527731,10145,1793,554,5075,3749
sockets,spread,638130753,98321284358,3466435,11455,2480,455,5910,3627
cores,master,13538739694,102294391763,3236580,8533,5494,1706,377,206
cores,close,634551692,99206259900,3596541,15493,3204,889,8317,11649
cores,spread,644231073,97649332063,3447587,13020,3302,759,10101,10073
threads,master,24602003447,92930804955,2977702,11847,8701,1776,93,287
threads,close,50099483,4197888498,2127844,14060,4291,643,6493,8259
threads,spread,50707291,3098784832,2228091,18713,3288,628,4138,2871
x,x,188964637,530319778,2451795,4711,1808,54,3,0
sockets,master,628966804,55599728515,3492780,7314,3972,1007,356,1161
sockets,close,639626371,98315710608,3561926,10093,2992,1272,4788,3582
sockets,spread,647028700,98879113460,3535968,10052,1823,679,4708,3582
cores,master,13672351357,102575322451,3227922,9985,6464,2088,413,434
cores,close,626089586,99332878358,3506871,16777,3201,324,9493,10815
cores,spread,640987986,99539362534,3628440,15670,3061,294,7900,12075
threads,master,24591044753,92809634033,3085042,10431,6874,1769,220,230
threads,close,58429720,4320162430,3529727,9900,2624,1588,6828,8803
threads,spread,63361240,4355755854,4121367,19679,5246,554,3217,13083
x,x,189026705,520087909,2437530,5113,1582,65,0,0
sockets,master,630004571,55456351202,3372389,7463,4215,1237,128,1034
sockets,close,642730469,98239262011,3567490,7555,2061,785,5099,3728
sockets,spread,643730730,98138491457,3368022,9950,3162,566,3766,3478
cores,master,13494594372,102199015975,3281326,9699,5407,1501,52,420
cores,close,635236167,99365294085,3586167,15488,3264,579,9304,11233
cores,spread,651888090,99061300619,3472199,13002,3784,984,7595,11228
threads,master,24677291455,93350584168,2988318,11026,7824,1939,103,302
threads,close,49776779,2229827761,1441666,18191,3634,678,4043,1070
threads,spread,75275512,6267281877,2260151,15885,3092,1342,4062,2704
x,x,187213903,539634087,2455022,5162,1713,61,3,3
sockets,master,644657886,56209640613,3409730,7014,3584,1817,363,1272
sockets,close,649442551,98943804863,3330279,9706,2343,383,4039,3642
sockets,spread,647257402,98644329201,3478860,11116,2016,644,3865,3713
cores,master,13661454275,102722940429,3254577,9118,5997,1908,59,311
cores,close,629757093,99187539081,3524394,16668,3347,409,8414,10464
cores,spread,630968129,98042441982,3484423,14941,3479,682,7849,11949
threads,master,24369074272,92723347120,3044009,10389,6932,1392,443,220
threads,close,72954353,5897445823,3639839,19778,4379,449,3643,3164
threads,spread,48945054,4344320429,1910372,15755,3687,997,7427,8352
x,x,185503955,534139992,2413292,1986,2013,300,3,0
sockets,master,747858333,64339087876,3336856,7648,4265,946,21,887
sockets,close,633597356,99100455642,3573865,9817,1717,914,5211,4135
sockets,spread,628260252,99009684435,3454981,10675,2689,988,4860,4038
cores,master,13519332493,101745566668,3204803,11141,7295,1944,31,436
cores,close,625486919,99142006611,3410533,15884,3366,552,9778,11071
cores,spread,630376836,99591171758,3539613,16547,3404,352,8511,11203
threads,master,24513662805,93504389292,2957316,8870,6521,1778,169,356
threads,close,75030103,7315307064,4467466,20116,3743,189,2738,10536
threads,spread,62098794,4206074233,3906114,16811,4456,465,3321,10629
x,x,186157043,522114470,2443691,4925,1580,57,0,0
sockets,master,634400545,55640324168,3475362,7292,3723,996,337,1130
sockets,close,635252786,99187976869,3595013,9071,1397,928,4098,3299
sockets,spread,625449757,97940107282,3430225,11075,2177,714,5434,3114
cores,master,13481576023,101814854577,3137088,8582,9592,4453,17,657
cores,close,633704219,98295055352,3424320,14000,3462,929,7701,11065
cores,spread,619917352,97583650760,3406991,16242,4147,592,9010,9654
threads,master,24822113588,92820823424,3025012,11416,7659,1614,393,168
threads,close,70069844,6030758002,4153510,15875,2239,333,8553,6629
threads,spread,57662953,2591213945,3229474,17438,2253,626,6285,3293
x,x,188619987,531036002,2443661,5442,1658,0,3,0
sockets,master,642738662,55209578105,3359745,5363,4109,1476,20,1458
sockets,close,631353916,99096734172,3522789,10132,1948,488,3864,3546
sockets,spread,637858392,98946097835,3486549,12003,2291,480,4725,4323
cores,master,13503739495,101958714884,3286828,9242,6542,1902,24,502
cores,close,403019994,61133630531,3341722,15024,2904,1143,9081,10010
cores,spread,644730046,97837550959,3437096,10934,2368,692,9280,11313
threads,master,24554140712,93111021030,2996510,12452,8836,1994,247,344
threads,close,73122282,7594439867,4820985,15259,3252,1131,5384,17175
threads,spread,50477646,2304372489,999509,15280,3097,421,4861,1295
x,x,185216281,514381670,2407586,4929,1156,56,0,0
sockets,master,629570422,54952018650,3255912,6024,3939,1694,324,1057
sockets,close,646027936,97767905504,3331323,10241,1801,660,5462,3483
sockets,spread,650607166,98493075516,3529817,9302,1757,736,4456,3672
cores,master,13625726658,102357669329,3248553,10422,6925,1532,52,264
cores,close,636466769,98227134139,3501423,18047,4502,455,8633,10544
cores,spread,632451444,99391223278,3561277,15903,4016,450,7725,11584
threads,master,24406997275,93258727770,3071881,10497,6549,1183,146,294
threads,close,90977751,7494671919,3373180,16512,2212,143,8066,14951
threads,spread,51032795,4085152093,1201449,15784,3287,981,6777,2425
x,x,185146776,531603151,2385396,4209,1612,99,0,0
sockets,master,631739843,55501626728,3419531,7639,4292,1206,31,1073
sockets,close,643501037,98655204640,3615215,12600,2264,471,5211,3582
sockets,spread,648840818,98484810555,3645549,8463,1582,725,4288,3556
cores,master,13558502917,101665532734,3202268,11308,8389,3953,41,446
cores,close,627234918,99517758603,3560365,15555,2694,892,9627,10920
cores,spread,640231271,99136328012,3484002,13913,2978,778,8685,11139
threads,master,24680612220,93508020136,3076037,11289,7273,1335,133,371
threads,close,79792455,3685352031,3467407,7923,2031,2007,13444,10736
threads,spread,71079820,5878639809,3335440,16954,2672,672,6169,1685
x,x,190040736,524317524,2460036,2693,2002,186,0,0
sockets,master,633071464,55427050960,3476319,7411,3821,1192,13,979
sockets,close,650591080,98814189568,3559190,9332,2277,430,3892,3562
sockets,spread,652465683,98521646584,3431656,10205,2433,546,4079,3491
cores,master,13652008538,102532821489,3170400,8967,6463,2266,182,490
cores,close,634897908,99651545239,3605101,13871,2981,749,8053,12150
cores,spread,715354039,98382922218,3558485,15059,2952,411,10838,11484
threads,master,24455497029,92846622628,3075431,13421,9866,2127,379,279
threads,close,73823392,7004961295,2393268,12135,2205,1436,10845,10287
threads,spread,45865016,4414896362,3924361,11739,1588,1397,10943,19261
x,x,186160659,500678221,2432362,4946,690,78,0,0
sockets,master,633571201,55246468069,3456278,7300,4135,1052,31,1050
sockets,close,633799098,98887907327,3571627,9646,2321,514,3864,2510
sockets,spread,630903509,99016829542,3500034,10432,2121,397,4751,3854
cores,master,13565519012,102405667854,3166693,8953,6294,2111,61,432
cores,close,632882571,99617184508,3498205,16353,3622,280,8034,11746
cores,spread,673675819,99074970033,3480884,14381,2480,699,8208,11884
threads,master,24407637255,93121687343,2975332,7484,6151,1454,196,296
threads,close,48459488,1894602300,1510531,19317,2885,720,6056,3102
threads,spread,47832689,2405966697,1482355,18024,3516,492,5792,3821
x,x,188471918,524651761,2430127,4801,1556,58,3,0
sockets,master,643938128,55844897146,3338865,6566,3494,1669,367,1148
sockets,close,636899590,99188792709,3511855,9951,2145,435,4535,3706
sockets,spread,639339216,98716672179,3573815,9223,1763,520,4530,3347
cores,master,13474480727,101843823852,3274608,10060,6801,2175,427,450
cores,close,637980586,98982179668,3505818,14443,3059,589,8815,11100
cores,spread,645843074,98142715286,3508537,13342,4070,760,7199,11403
threads,master,24482078175,93196852871,3042602,10448,6523,1512,121,262
threads,close,49975335,3766817291,955287,18344,3656,542,4600,2107
threads,spread,52028757,4886009378,1142162,16575,3372,902,5327,1966
x,x,185436508,476262429,2223707,4143,1081,81,424,3
sockets,master,647519413,56691382550,3385463,7875,4176,895,256,951
sockets,close,645968604,99075351856,3591589,9883,1520,438,4436,3781
sockets,spread,659298079,99188218522,3391971,11604,2617,805,4894,3699
cores,master,13496864370,102357838315,3224263,9091,5349,1594,441,475
cores,close,624388690,98691060816,3451932,14087,3222,837,10915,10484
cores,spread,640468758,98092406706,3508092,18223,4057,297,10138,11970
threads,master,24441594812,92898833997,3040871,11464,7985,1540,145,283
threads,close,68671149,6054572705,4231998,15945,2586,1589,8538,9499
threads,spread,63231805,5435439637,3106320,18082,3345,335,8612,14577
x,x,185635209,528386055,2379931,5048,1540,64,0,0
sockets,master,639117766,55573722641,3581204,7673,3894,1300,52,548
sockets,close,617188490,97878635430,3444785,8879,2632,1122,4121,2659
sockets,spread,641444467,98568604139,3513689,11588,2372,519,5831,3759
cores,master,13526399005,102307486009,3136469,6506,6534,2294,107,347
cores,close,627420059,98770048429,3498590,16574,3988,448,7898,11203
cores,spread,616718491,98743813397,3354643,16935,4292,955,9487,10570
threads,master,24542706271,93135631256,3053738,13216,9248,2025,17,258
threads,close,61455184,4651622696,3536385,10302,3545,2238,6421,3190
threads,spread,72159713,5382396007,2115247,14220,3089,404,4004,1618
x,x,191351540,540641103,2538989,5150,1658,47,0,0
sockets,master,647108501,57016200942,3338000,8066,4361,1339,61,1439
sockets,close,642132453,98981656966,3528444,11830,2222,551,5994,3745
sockets,spread,637923867,99146228666,3481114,10324,1320,446,5150,4051
cores,master,13434416158,101967403672,3209360,10320,6482,1733,20,437
cores,close,644368540,98489288807,3528937,15661,3113,741,7862,11129
cores,spread,636444676,99131214072,3405017,15502,4016,453,7670,11012
threads,master,24574242293,93489806212,3063253,9676,5588,1519,471,319
threads,close,49788449,2295948285,1537910,19474,3799,929,896,976
threads,spread,61986149,4334504449,2856115,17484,3080,321,9467,12472
x,x,189253559,541792460,2480023,5497,1667,68,3,0
sockets,master,917599348,77121463175,3458976,7585,4088,1255,345,1362
sockets,close,619296442,99469325037,3344449,10413,1715,709,4474,3822
sockets,spread,652889452,99532504509,3513789,11273,2454,444,4452,3839
cores,master,13544236124,102630672163,3140121,11087,7490,2252,375,477
cores,close,635391305,99205925174,3485068,16085,2979,478,8529,11120
cores,spread,644955044,98659995607,3491648,13943,3059,763,8502,11094
threads,master,24348221866,92939362052,3007994,10185,6881,1371,130,347
threads,close,53475977,3707151283,3591166,12187,2099,1380,9052,10005
threads,spread,63761761,4080005003,3823936,21404,3954,69,6205,16060
x,x,190139666,519781325,2447382,5031,850,76,3,0
sockets,master,824834557,69787108604,3306098,5629,3263,1545,398,1191
sockets,close,644762649,100032686949,3519483,10033,1814,684,4547,3800
sockets,spread,633470565,98761960451,3494015,9777,1577,435,4036,3681
cores,master,13443439270,102074593772,3193635,9178,6283,2036,291,531
cores,close,628997540,99765536463,3531981,16182,2819,422,9041,12056
cores,spread,643735115,98879916822,3512980,14264,2821,392,10164,10792
threads,master,24492021336,93204064594,3006763,11769,7831,1846,216,357
threads,close,49114551,2850090758,1157072,19287,4079,919,2956,1188
threads,spread,43309216,4362159350,1075420,17708,4304,1121,2908,1891
x,x,187438463,510539722,2449962,5050,788,7,0,0
sockets,master,642566023,55848543088,3419237,7146,3904,924,34,1234
sockets,close,634096226,99230002242,3534758,11352,1937,342,3795,3813
sockets,spread,619120166,99325394345,3519195,10208,2181,315,4851,3654
cores,master,13384451725,101832167859,3212614,8473,5326,1526,107,434
cores,close,641012319,99285713166,3588471,14370,2836,593,7065,12072
cores,spread,635541492,98680478890,3480897,16459,3529,401,8391,10890
threads,master,24597593110,93376043001,2970404,8561,7860,1936,1185,371
threads,close,252873097,18542018907,3307287,18102,3628,1927,7139,9149
threads,spread,53596239,3515439826,1896944,17022,3270,977,7642,2325
