OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,close,197675998,24949608856,146972281,1536555,1385262,1119274,83233,4219
cores,spread,191485859,24956455405,147030740,1621458,1501280,1027602,77462,4905
threads,master,5288983747,19679838619,138774199,284000,283386,213897,27,76
threads,close,132836493,11732790552,123375772,1445323,1531081,1302755,77649,3937
threads,spread,134321086,12864921212,137277476,1501906,1484470,1431644,75986,3767
x,x,1425215138,4866211232,140187071,1015669,936164,587194,6,0
sockets,master,318769063,25271665392,141988935,1607085,1622718,1217222,1204,455
sockets,close,199693426,23641053838,135307290,1579508,1662234,1117812,11686,1539
sockets,spread,195776811,24585897504,159279298,1726820,1509597,829719,12275,1771
cores,master,3207550792,23774141816,145106589,714388,709038,212410,357,45
cores,close,204049778,24869732101,147909401,1575191,1435841,1218704,79020,4494
cores,spread,209821532,24368836580,143974432,1655167,1545219,967210,68175,4615
threads,master,5327069859,19793932179,138091865,282938,281607,206066,54,48
threads,close,146645249,13032760767,157265915,1826779,1556047,658903,54533,3822
threads,spread,138437388,13169702638,127990935,1522882,1561470,1105536,74047,4454
x,x,1429227848,4836911156,147352685,1197100,1045350,664403,7,0
sockets,master,328451999,24939326742,140706300,1446269,1459563,921740,1196,304
sockets,close,206193604,23251798879,137678016,1721778,1766943,980037,14141,1451
sockets,spread,223640056,23634702089,148268050,1697078,1614630,923399,12508,1593
cores,master,2918041182,21695904663,142362901,748559,749173,215749,20,45
cores,close,196596007,23877860588,138008532,1529434,1503490,1224002,79819,4497
cores,spread,196801613,24209611185,140878288,1628644,1524530,1143691,71996,4304
threads,master,5355689493,20042943925,138260388,281750,280991,233172,433,56
threads,close,133950181,11476670968,122853931,1468422,1581303,1200941,75863,3806
threads,spread,140577858,11897117380,148635292,1674233,1527124,1158469,59087,4274
x,x,1436412559,4760393540,126242984,997114,1212149,554529,388,0
sockets,master,320206312,24424221640,142413243,1473589,1437747,911778,1509,274
sockets,close,211694205,24582960324,156674865,1629109,1433531,988377,14310,1686
sockets,spread,220638584,24907818063,148336659,1603334,1542716,1036067,14009,1724
cores,master,3423681711,24652108447,145594538,719714,712043,223096,318,78
cores,close,204944119,24584298361,147755437,1599639,1471349,1085202,74947,4606
cores,spread,206755390,24497491404,142921159,1595990,1496123,1189087,78413,4310
